MonumentID,MaterialID,MonumentType,MentionsUnit,Inscription,CleanedInscriptionConservative,CleanedInscription,Translation,TranslationSource,Decorated,Pediment,PedimentDetail,Frieze,Portrait,InscriptionDetails,InscriptionBorder,LowerFieldDecoration,LowerFieldDetail,MonumentStyleType,FromLatEpig,EDCSTags
0001,0001,,,M(arco) Antonio Celeri / eq(uiti) leg(ionis) VII C(laudiae) P(iae) F(idelis) Iulia / Maxsima(!) heres fecit / sibi et coniugi caro suo st(ipendiorum) XXX / [in] f(ronte) p(edes) XII in ag(ro) (!) XVII,M Antonio Celeri eq leg VII C P F Iulia Maxsima heres fecit sibi et coniugi caro suo st XXX f p XII in ag XVII,Marco Antonio Celeri equiti legionis VII Claudiae Piae Fidelis Iulia Maxsima heres fecit sibi et coniugi caro suo stipendiorum XXX in fronte pedes XII in agro XVII,,,,,,,,,,,,,,milites;  mulieres;  tituli sepulcrales;  tria nomina;  viri
0002,0002,,,Surus Sparuci f(ilius) / dom(o) Tribocus / eques alae Claud/iae Novae ann(orum) XXX / stip(endiorum) XIII h(ic) s(itus) e(st) t(estamento) f(ieri) i(ussit) / arbitratu Celati ses/quiplicari(i) heredis,Surus Sparuci f dom Tribocus eques alae Claudiae Novae ann XXX stip XIII h s e t f i arbitratu Celati sesquiplicari heredis,Surus Sparuci filius domo Tribocus eques alae Claudiae Novae annorum XXX stipendiorum XIII hic situs est testamento fieri iussit arbitratu Celati sesquiplicarii heredis,,,,,,,,,,,,,,milites;  nomen singulare;  tituli sepulcrales;  viri
0003,0003,,,Appuleia / Aretusa / C(aio) Trosio / Liberali mater / ponit mil(iti) prae/toriae cohortis VI / ann(orum) XVIIII,Appuleia Aretusa C Trosio Liberali mater ponit mil praetoriae cohortis VI ann XVIIII,Appuleia Aretusa Caio Trosio Liberali mater ponit militi praetoriae cohortis VI annorum XVIIII,,,,,,,,,,,,,,milites;  mulieres;  tituli sepulcrales;  tria nomina;  viri
0004,0004,,,Fin[i]s inter Neditas et Corinienses / derectus mensuris actis iussu / [A(uli) Du]ceni Gemini leg(ati) per A(ulum) Resium / Maximum |(centurionem) leg(ionis) XI principem / posteriorem co(ho)[r(tis)] I et per [Q(uintum)] A[e]butium / Liberalem |(centurionem) eiusdem leg(ionis) (h)astatum / posteriorem c(o)hor(tis) I,Fins inter Neditas et Corinienses derectus mensuris actis iussu ceni Gemini leg per A Resium Maximum leg XI principem posteriorem co I et per Abutium Liberalem eiusdem leg astatum posteriorem chor I,Finis inter Neditas et Corinienses derectus mensuris actis iussu Auli Duceni Gemini legati per Aulum Resium Maximum centurionem legionis XI principem posteriorem cohortis I et per Quintum Aebutium Liberalem centurionem eiusdem legionis hastatum posteriorem cohortis I,,,,,,,,,,,,,,milites;  ordo senatorius;  termini;  tria nomina;  viri
0005,0005,,,Tures Alburi / f(ilius) eq(ues) coh(ortis) I / Bracaraugus(tanorum) / ann(orum) XXV stip(endiorum) VII / h(ic) s(itus) e(st) h(eres) p(osuit),Tures Alburi f eq coh I Bracaraugus ann XXV stip VII h s e h p,Tures Alburi filius eques cohortis I Bracaraugustanorum annorum XXV stipendiorum VII hic situs est heres posuit,,,,,,,,,,,,,,milites;  nomen singulare;  tituli sepulcrales;  viri
0006,0006,,,Veranus Caturonis / f(ilius) eq(ues) coh(ortis) I Bracaraug(ustanorum) / turma Tironis ann(orum) / XXXIIX stipendiorum / XVIII h(ic) s(itus) e(st) t(estamento) f(ieri) i(ussit) / h(eredes) p(osuerunt) Tiro dec(urio) et Crispus / Caturonis,Veranus Caturonis f eq coh I Bracaraug turma Tironis ann XXXIIX stipendiorum XVIII h s e t f i h p Tiro dec et Crispus Caturonis,Veranus Caturonis filius eques cohortis I Bracaraugustanorum turma Tironis annorum XXXIIX stipendiorum XVIII hic situs est testamento fieri iussit heredes posuerunt Tiro decurio et Crispus Caturonis,,,,,,,,,,,,,,milites;  nomen singulare;  tituli sepulcrales;  viri
0007,0007,,,Leg(ionis) IIII F(laviae) [F(elicis)],Leg IIII F,Legionis IIII Flaviae Felicis,,,,,,,,,,,,,,milites;  sigilla impressa;  tituli fabricationis
0008,0008,,,Leg(ionis) VIII Aug(ustae),Leg VIII Aug,Legionis VIII Augustae,,,,,,,,,,,,,,milites;  sigilla impressa;  tituli fabricationis
0009,0009,,,[L]eg(ionis) IIII F(laviae) F(elicis),eg IIII F F,Legionis IIII Flaviae Felicis,,,,,,,,,,,,,,milites;  sigilla impressa;  tituli fabricationis
0010,0010,,,[Leg(ionis)] VIII Aug(ustae),VIII Aug,Legionis VIII Augustae,,,,,,,,,,,,,,milites;  sigilla impressa;  tituli fabricationis
