MaterialID,ArtefactID,MonumentID,LocationID,Findspot,FindspotCertainty,FindspotChecked,DateFrom,DateTo,DateChecked,DateNote,Materiality,ModernHolding,HoldingData,Publication,MaterialNote,DBInclusionReason,Media
1,,1,,,,,42,100,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_03_03162a.jpg
2,,2,,,,,51,150,,,NA,,,,,,
3,,3,,,,,1,100,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_05_02498.jpg;$Tozzi-2017_00051.jpg;pp
4,,4,,,,,63,68,,,lapis,,,,,,
5,,5,,,,,1,100,,,NA,,,,,,
6,,6,,,,,1,100,,,NA,,,,,,
7,,7,,,,,70,86,,,opus figlinae,,,,,,
8,,8,,,,,1,70,,,opus figlinae,,,,,,
9,,9,,,,,70,86,,,opus figlinae,,,,,,
10,,10,,,,,1,70,,,opus figlinae,,,,,,
11,,11,,,,,1,100,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00031.jpg;pp
12,,12,,,,,14,37,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-XV-Apo_00183.jpg
13,,13,,,,,42,100,,,NA,,,,,,
14,,14,,,,,42,150,,,NA,,,,,,
15,,15,,,,,71,150,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_03_14329.jpg;pp
16,,16,,,,,1,100,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$ILJug-02_00825.jpg
17,,17,,,,,1,150,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp
18,,18,,,,,1,42,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$M_CIL_03_14997-2_1.jpg;$M_CIL_03_14997-2_2.jpg;$AE_1903_00304.jpg;pp
19,,19,,,,,1,100,,,NA,,,,,,
20,,20,,,,,1,50,,,lapis,,,,,,
21,,21,,,,,42,69,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$M_CIL_03_15004_1.jpg;$M_CIL_03_15004_2.jpg;pp
22,,22,,,,,42,69,,,NA,,,,,,
23,,23,,,,,42,69,,,NA,,,,,,
24,,24,,,,,42,69,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp
25,,25,,,,,1,150,,,NA,,,,,,
26,,26,,,,,1,150,,,NA,,,,,,
27,,27,,,,,1,150,,,NA,,,,,,
28,,28,,,,,1,150,,,NA,,,,,,
29,,29,,,,,1,150,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp
30,,30,,,,,1,150,,,NA,,,,,,
31,,31,,,,,113,113,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$M_AE_1908_00193_1.jpg;$M_AE_1908_00193_2.jpg;$M_AE_1908_00193_3.jpg;$M_AE_1908_00193_4.jpg;$M_AE_1908_00193_5.jpg;pp
32,,32,,,,,1,70,,,NA,,,,,,
33,,33,,,,,51,100,,,lapis,,,,,,
34,,34,,,,,1,150,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp
35,,35,,,,,1,150,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp
36,,36,,,,,1,150,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$M_CIL_03_15029b.jpg;pp
37,,37,,,,,101,150,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp
38,,38,,,,,1,100,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$M_CIL_03_15031.jpg;pp
39,,39,,,,,1,150,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$M_CIL_03_15033_1.jpg;$M_CIL_03_15033_2.jpg;pp
40,,40,,,,,71,130,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$M_CIL_03_15036a_1.jpg;$M_CIL_03_15036a_2.jpg
41,,41,,,,,1,150,,,NA,,,,,,
42,,42,,,,,9,70,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$REMCacak_00013.jpg
43,,43,,,,,1,100,,,rupes,,,,,,
44,,44,,,,,1,150,,,NA,,,,,,
45,,45,,,,,1,150,,,NA,,,,,,
46,,46,,,,,14,20,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$ILJug-02_00636_1.jpg
47,,47,,,,,42,100,,,NA,,,,,,
48,,48,,,,,1,150,,,NA,,,,,,
49,,49,,,,,1,150,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_03_09760.jpg
50,,50,,,,,42,150,,,NA,,,,,,
51,,51,,,,,41,100,,,NA,,,,,,
52,,52,,,,,42,100,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00044.jpg
53,,53,,,,,117,150,,,NA,,,,,,
54,,54,,,,,42,100,,,lapis,,,,,,
55,,55,,,,,42,150,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$M_CIL_03_02772_1.jpg;$M_CIL_03_02772_2.jpg;$M_CIL_03_02772_3.jpg;$M_CIL_03_02772_4.jpg
56,,56,,,,,71,100,,,NA,,,,,,
57,,57,,,,,31,100,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00037.jpg
58,,58,,,,,41,54,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00098.jpg
59,,59,,,,,51,100,,,NA,,,,,,
60,,60,,,,,1,100,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$PF_AE_1994_01358.jpg;$PF_AE_1994_01358_1.jpg;$AE_1994_01358.jpg;pp
61,,61,,,,,1,42,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00021.jpg
62,,62,,,,,71,150,,,NA,,,,,,
63,,63,,,,,71,130,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Doclea_00022.jpg;$CILGM_00103_2.jpg;$CILGM_00103_2_1.jpg;pp
64,,64,,,,,71,130,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CILGM_00103_1.jpg;$CILGM_00103_1_1.jpg;$CILGM_00103-1_2.jpg;pp
65,,65,,,,,71,130,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CILGM_00103_4.jpg;pp
66,,66,,,,,71,130,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Doclea_00023.jpg;$CILGM_00104.jpg;$CILGM_00105.jpg
67,,67,,,,,1,150,,,lapis,,,,,,
68,,68,,,,,71,150,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CILGM_00204.jpg
69,,69,,,,,1,100,,,NA,,,,,,
70,,70,,,,,1,100,,,lapis,,,,,,
71,,71,,,,,9,69,,,NA,,,,,,
72,,72,,,,,9,42,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$PF_CIL_03_02709.jpg;$D_02252.jpg;$Legio-VII_00002.jpg;pp
73,,73,,,,,1,40,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$D_02253_1.jpg;$D_02253_2.jpg;$Legio-VII_00012_1.jpg;$Legio-VII_00012_2.jpg
74,,74,,,,,9,69,,,NA,,,,,,
75,,75,,,,,61,70,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_03_09727.jpg;$PF_CIL_03_02712.jpg;$PF_CIL_03_02712_1.jpg
76,,76,,,,,1,150,,,NA,,,,,,
77,,77,,,,,9,56,,,NA,,,,,,
78,,78,,,,,42,100,,,NA,,,,,,
79,,79,,,,,9,56,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00046.jpg
80,,80,,,,,9,56,,,NA,,,,,,
81,,81,,,,,14,37,,,NA,,,,,,
82,,82,,,,,1,150,,,NA,,,,,,
83,,83,,,,,51,100,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$M_CIL_03_02723_1.jpg;$PF_CIL_03_02723.jpg;$PF_CIL_03_02723_1.jpg
84,,84,,,,,1,150,,,NA,,,,,,
85,,85,,,,,1,150,,,NA,,,,,,
86,,86,,,,,9,56,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00008.jpg;$PF_CIL_03_09733.jpg
87,,87,,,,,9,56,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00026.jpg;$PF_CIL_03_09734.jpg;$PF_CIL_03_09734_1.jpg;$PF_CIL_03_09734_2.jpg
88,,88,,,,,71,130,,,NA,,,,,,
89,,89,,,,,1,42,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00034.jpg;$PF_CIL_03_09737.jpg
90,,90,,,,,101,150,,,NA,,,,,,
91,,91,,,,,9,56,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00068.jpg
92,,92,,,,,9,56,,,NA,,,,,,
93,,93,,,,,1,150,,,NA,,,,,,
94,,94,,,,,1,150,,,NA,,,,,,
95,,95,,,,,51,100,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_03_13975.jpg;$PF_CIL_03_13975.jpg
96,,96,,,,,42,100,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00025.jpg;$PF_CIL_03_13976.jpg
97,,97,,,,,1,100,,,NA,,,,,,
98,,98,,,,,9,42,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00047.jpg;pp
99,,99,,,,,9,56,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00029.jpg;$PF_CIL_03_14931.jpg;$PF_CIL_03_14931_1.jpg
100,,100,,,,,9,42,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00039.jpg;$PF_CIL_03_14932.jpg
101,,101,,,,,1,150,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00048.jpg
102,,102,,,,,51,100,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$D_09164.jpg;$D_09164_1.jpg;$PF_CIL_03_14934.jpg
103,,103,,,,,1,150,,,NA,,,,,,
104,,104,,,,,1,150,,,NA,,,,,,
105,,105,,,,,1,150,,,NA,,,,,,
106,,106,,,,,1,150,,,NA,,,,,,
107,,107,,,,,1,150,,,NA,,,,,,
108,,108,,,,,51,100,,,NA,,,,,,
109,,109,,,,,71,130,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$PF_CIL_03_09782.jpg;$M_CIL_03_09782_1.jpg
110,,110,,,,,1,50,,,lapis,,,,,,
111,,111,,,,,71,150,,,NA,,,,,,
112,,112,,,,,42,100,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PEC0009117
113,,113,,,,,1,100,,,lapis,,,,,,
114,,114,,,,,42,69,,,lapis,,,,,,
115,,115,,,,,108,130,,,lapis,"Sarajevo, Zem. Muz.",,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$ILJug-03_01627_1.jpg;$ILJug-03_01627_2.jpg
116,,116,,,,,1,150,,,NA,,,,,,
117,,117,,,,,71,100,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0012436;pp
